VariableName,VariableCode,Type_Of_Variable,Unit_Of_Measure,Scaling_Factor,Aggregation_Type,Weighing_Varible_ID,Weighing_Variable_Name,Long_Description
Country,Country,Key Identifier,,0,,,,Country
State lgd code,StateCode,Key Identifier,,0,,,,State LGD Code
State,StateName,Key Identifier,,0,,,,State
Year,Year,Key Identifier,"",0,,"","",Year
YearCode,YearCode,Key Identifier,"",0,,"","",YearCode
Households that applied for a job card,I6026_4,Numeric Variable,Number,1,sum,WeighingRatio_NumberOfHouseholds,Number of House holds from Census,Households that applied for a Job Card A Job Card is an entitlement card issued to every household whose any adult member hasdemanded employment under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) and has shown willingness to do casualmanual labour
Job cards issued,I6026_5,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census, Job Cards issued under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA)
Job cards issued for scheduled caste,I6026_6,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Job Cards issued for Scheduled Caste (SC) under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA)
Job cards issued for scheduled tribes,I6026_7,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Job Cards issued for Scheduled Tribes (ST) under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA)
Job cards issued for non scheduled tribes or scheduled caste,I6026_8,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Job Cards issued for non Scheduled Tribes (ST) or Scheduled Caste (SC) under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA)
Households that demanded work,I6026_9,Numeric Variable,Number,1,sum,WeighingRatio_NumberOfHouseholds,Number of House holds from Census,Households that demanded work under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA)
Persons who demanded work,I6026_10,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Persons who demanded work under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA)
